,Australia,Canada,China,European Union,United Kingdom,India,"Korea, Rep.",United States
1995,3.837755293,2.6939762860000003,10.95395434,2.673207525,2.531670037,7.57449184,9.614565393,2.684287134
1996,3.878585293,1.61917249,9.922556753,1.892917255,2.49153318,7.549522249,7.8907033260000015,3.77250132
1997,3.966537662,-3.845294416,9.236779892000001,2.664015312,3.854829991,4.049820849,6.1705524270000005,4.44721634
1998,4.576688759,2.79654248,7.845951787000001,3.018680748,3.644853396,6.184415821,-5.129448165,4.481407553
1999,5.073599095,3.970482637,7.6616515,2.958699937,3.428223328,8.845755561,11.46694243,4.753235991
2000,3.933136945,4.917762744,8.490093406,3.903211797,3.437471629,3.840991157,9.060833325,4.127484011
2001,1.930857592,1.405527589,8.335733478,2.184364392,2.974363653,4.823966264,4.852399572,0.9983408
2002,4.001404062,3.422146171,9.13363079,1.123942887,2.324351122,3.803975321,7.725142675,1.741695243
2003,2.985934322,3.811090153,10.03803048,0.930532658,3.28637759,7.8603814760000015,3.147291194,2.861210772
2004,4.055451968,3.914028782,10.11362138,2.594947904,2.3739514280000003,7.922936612999999,5.197391363,3.798891123
2005,3.204269793,4.995860869,11.39459181,1.934044894,3.179728893,7.923430621,4.308542714,3.513213796
2006,2.794537024,4.165817627,12.72095567,3.494275968,2.7883245660000004,8.060732573,5.264326595,2.8549722980000003
2007,3.844230316,6.868608857000001,14.23086093,3.15247294,2.430553201,7.660815065,5.799548415,1.876171455
2008,3.657953526000001,1.007622695,9.650678919,0.644918094,-0.281153556,3.08669806,3.012984873,-0.136579804
2009,1.93699392,-2.928400167,9.398725633,-4.325825805,-4.247821763,7.861888832999999,0.79269899,-2.53675707
2010,2.067417128,3.08949462,10.63587106,2.20972967,1.949521464,8.497584702000001,6.804824918,2.563766563
2011,2.462756312,3.146881372,9.550832179,1.83195467,1.5401474030000002,5.241344743,3.685667782,1.550835504
2012,3.918162871,1.762222549,7.863736449,-0.7518309759999999,1.478923924,5.456358951,2.402530992,2.249545851
2013,2.584897702,2.329122506,7.766150098,-0.055313393,2.139485718,6.386106401,3.1647086360000003,1.84208107
2014,2.533114665,2.870036075,7.425763656,1.572942757,2.607475901,7.410227605,3.202453795,2.52597345
2015,2.192647426,0.659176864,7.041328879,2.30060265,2.355524306,7.996253444,2.8091032680000003,2.9080218610000004
2016,2.770652197,1.001394414,6.848762205,2.0447370680000003,1.918155132,8.256305844,2.946881715,1.637838457
2017,2.300610624,3.170729897,6.947200793,2.789165217,1.892077007,7.043820855,3.15963574,2.369800784
2018,2.949285772,2.013639187,6.749773833,2.118239984,1.340720602,6.119586841,2.907403774,2.927325732
2019,2.160956295,1.656040845,5.949714233,1.554264954,1.462658202,4.180727625,2.039348227,2.161176288
2020,-0.284839297785609,-5.40279855256868,2.29999999998371,-6.1,-9.79024036173693,-7.9646104111382,-0.957766223525297,-3.4861395571143
