,year,AU_inflation,CA_inflation,CN_inflation,GB_inflation,IN_inflation,JP_inflation,KR_inflation,US_inflation
0,1995,4.62776659959758,2.14876033057852,16.7912251650917,2.6974951830443197,10.2248861637545,-0.127899045020464,4.48068699525355,2.8054196885365497
1,1996,2.6153846153846203,1.57053112507137,8.31316028893904,2.8517823639774798,8.97715233826453,0.136600358575938,4.9248096866347995,2.9312041999344
2,1997,0.22488755622188103,1.62121638084528,2.78646505531886,2.2011431351088198,7.164252114627191,1.7478045869213301,4.43906376109768,2.33768993730741
3,1998,0.860134629768157,0.9959424566580741,-0.773186011549305,1.82056163731558,13.2308389767978,0.6619741913859161,7.51334012248214,1.5522790987436201
4,1999,1.4831294030403799,1.7348429510591798,-1.40147268276465,1.7529508005142,4.66982038037591,-0.34129692832762004,0.8129965892857471,2.18802719697358
5,2000,4.45743514797225,2.7194399569197203,0.347811226864599,1.18295624210404,4.0094359104518995,-0.6765786835950629,2.25918477850415,3.37685727149935
6,2001,4.4071353620147,2.52512013979907,0.719125609120107,1.5323496027241799,3.77929312235641,-0.740055504162808,4.06641964799839,2.8261711188540204
7,2002,2.9815745393634905,2.25839440940856,-0.7319709023502758,1.52040245947458,4.2971520392956,-0.923494026942291,2.7625113520860602,1.58603162650603
8,2003,2.73259596616783,2.75856321360112,1.12760348729636,1.3765003854201001,3.8058589952885096,-0.256541816316074,3.51487924186862,2.2700949733611298
9,2004,2.34325522482587,1.85725871857261,3.82463743108159,1.39039756680426,3.76725173477513,-0.00857338820299998,3.59059139085802,2.67723669309173
10,2005,2.69183168316831,2.2135520343976403,1.77641407667574,2.08913649025072,4.246343620319251,-0.28294606876448697,2.75409020054754,3.3927468454954703
11,2006,3.5552877372702794,2.00202539534156,1.64943099455862,2.45566166439288,5.79652337561635,0.24935511607909602,2.2418471043914803,3.2259441007040697
12,2007,2.3276112889147598,2.13838399266843,4.81676767378831,2.38656150773328,6.37288135593231,0.0600394544986868,2.53484687118478,2.8526724815013598
13,2008,4.3502985499004705,2.3702706744429403,5.92525137041095,3.52140856342537,8.34926704907581,1.38007886164923,4.6737959569162,3.8391002966510097
14,2009,1.77111716621252,0.29946680300928397,-0.728165250932952,1.96173173560107,10.8823529411764,-1.35283672951722,2.75668647737581,-0.35554626629975
15,2010,2.91834002677376,1.77687154092629,3.1753247526919903,2.4926547246706496,11.989389920424399,-0.719979429159149,2.93918135927598,1.64004344238989
16,2011,3.3038501560874396,2.91213508872355,5.55389892257492,3.85611244682819,8.85836096636667,-0.267633600966946,4.02584624959385,3.1568415686220597
17,2012,1.76278015613193,1.51567823124521,2.6195243264554398,2.5732347965452798,9.312445604873801,-0.0519390581717368,2.18722120847932,2.06933726526059
18,2013,2.44988864142539,0.9382918978152099,2.62105001748115,2.29166666666666,11.063674783442199,0.34644032565389804,1.30137705753611,1.4648326556271398
19,2014,2.4879227053140296,1.90663590717873,1.92164162788521,1.45112016293279,6.649500151469249,2.76195408251338,1.2747147020551899,1.62222297740821
20,2015,1.50836672165921,1.12524136094279,1.43702380935655,0.368046842325369,4.90697344127253,0.7895178901394271,0.7062081698592141,0.118627135552435
21,2016,1.27699094497328,1.4287595470107999,2.00000182191941,1.00841736811403,4.94821634062141,-0.11666666666667098,0.971674763956376,1.2615832057053702
22,2017,1.94864740944522,1.5968841285297,1.5931360007143403,2.55775577557754,3.3281733746130095,0.467211747038214,1.94445590723395,2.1301100036596297
23,2018,1.91140094445692,2.268225672481,2.0747903996557797,2.2928399034593903,3.9450686641697903,0.979903670486641,1.4758624039636898,2.44258329692818
24,2019,1.6107678729037902,1.94926902411596,2.8992341635822703,1.7381046008651102,3.7232764833053196,0.476973684210521,0.38294613224406,1.8122100752601498
25,2020,0.846905537459293,0.716999632307852,2.4194218945777997,0.9894867037724301,6.62343677628531,-0.016369291209697,0.537258392675479,1.23358439630637
