Date,Price
Jun 12,6.7
Jun 13,97.5
Jun 14,640.0
Jun 15,262.9
Jun 16,674.7
Jun 17,"2,420.7"
Jun 18,"6,391.5"
Jun 19,"10,745.0"
Jun 20,"9,150.6"
Jun 21,"35,043.5"
