Date,Price
Jun-95,"1,981.00"
Jun-96,"2,171.80"
Jun-97,"2,664.70"
Jun-98,"2,620.10"
Jun-99,"2,903.70"
Jun-00,"3,311.20"
Jun-01,"3,490.30"
Jun-02,"3,216.00"
Jun-03,"3,026.90"
Jun-04,"3,532.90"
Jun-05,"4,277.50"
Jun-06,"5,073.90"
Jun-07,"6,274.90"
Jun-08,"5,215.30"
Jun-09,"3,954.90"
Jun-10,"4,301.50"
Jun-11,"4,608.00"
Jun-12,"4,094.60"
Jun-13,"4,802.60"
Jun-14,"5,395.70"
Jun-15,"5,459.00"
Jun-16,"5,233.40"
Jun-17,"5,721.50"
Jun-18,"6,194.60"
Jun-19,"6,618.80"
Jun-20,"5,897.90"
