,Time,Births,Deaths,NaturalIncreases,InterstateArrivals,OverseasArrivals,OverseasDepartures,NetOverseasDepartures,NetOverseasMigration,EstimatedResidentPopulation,PercenChangeOverThePreviousYear
424,Jun-13,,,,,,,,,,
425,Jul-13,,,,,,,,,,
436,Jun-14,,,,,,,,,,
437,Jul-14,,,,,,,,,,
448,Jun-15,,,,,,,,,,
449,Jul-15,,,,,,,,,,
460,Jun-16,,,,,,,,,,
461,Jul-16,,,,,,,,,,
472,Jun-17,,,,,,,,,,
473,Jul-17,,,,,,,,,,
484,Jun-18,,,,,,,,,,
485,Jul-18,,,,,,,,,,
496,Jun-19,,,,,,,,,,
497,Jul-19,,,,,,,,,,
508,Jun-20,,,,,,,,,,
509,Jul-20,,,,,,,,,,
