,ASX
2000-10-02,2.043306589126587
2000-10-03,2.16969633102417
2000-10-04,2.001176357269287
2000-10-05,2.0222411155700684
2000-10-06,2.1486313343048096
2000-10-09,2.190761089324951
2000-10-10,2.190761089324951
2000-10-11,2.1486313343048096
2000-10-12,1.9801115989685059
2000-10-13,2.0222411155700684
2000-10-16,2.001176357269287
2000-10-17,1.9169158935546875
2000-10-18,1.9590461254119873
2000-10-19,1.9801115989685059
2000-10-20,1.9801115989685059
2000-10-23,2.1486313343048096
2000-10-24,2.2750210762023926
2000-10-25,2.2328920364379883
2000-10-26,2.2328920364379883
2000-10-27,2.2539563179016113
2000-10-30,2.1486313343048096
2000-10-31,2.043306589126587
2000-11-01,2.0854365825653076
2000-11-02,1.9801115989685059
2000-11-03,2.0222411155700684
2000-11-06,2.001176357269287
2000-11-07,2.0643715858459473
2000-11-08,2.190761089324951
2000-11-09,2.1275665760040283
2000-11-10,2.1065011024475098
2000-11-13,2.0222411155700684
2000-11-14,2.0222411155700684
2000-11-15,1.937981367111206
2000-11-16,1.937981367111206
2000-11-17,1.8958512544631958
2000-11-20,1.6641360521316528
2000-11-21,1.6852010488510132
2000-11-22,1.6852010488510132
2000-11-24,1.643070936203003
2000-11-27,1.6641360521316528
2000-11-28,1.6852010488510132
2000-11-29,1.6852010488510132
2000-11-30,1.643070936203003
2000-12-01,1.643070936203003
2000-12-04,1.6220060586929321
2000-12-05,1.7062658071517944
2000-12-06,1.6009411811828613
2000-12-07,1.6220060586929321
2000-12-08,1.6852010488510132
2000-12-11,1.643070936203003
2000-12-12,1.5588111877441406
2000-12-13,1.6220060586929321
2000-12-14,1.5377455949783325
2000-12-15,1.6009411811828613
2000-12-18,1.5588111877441406
2000-12-19,1.41135573387146
2000-12-20,1.3692262172698975
2000-12-21,1.3060309886932373
2000-12-22,1.2849663496017456
2000-12-26,1.2639007568359375
2000-12-27,1.200705885887146
2000-12-28,1.0743154287338257
2000-12-29,1.0321857929229736
2001-01-02,1.1164460182189941
2001-01-03,1.1585756540298462
2001-01-04,1.2639007568359375
2001-01-05,1.3481606245040894
2001-01-08,1.2639007568359375
2001-01-09,1.41135573387146
2001-01-10,1.5166809558868408
2001-01-11,1.6641360521316528
2001-01-12,1.5798763036727905
2001-01-16,1.5798763036727905
2001-01-17,1.6009411811828613
2001-01-18,1.6009411811828613
2001-01-19,1.937981367111206
2001-01-22,1.8958512544631958
2001-01-23,1.8958512544631958
2001-01-24,1.874786138534546
2001-01-25,1.7905259132385254
2001-01-26,1.6641360521316528
2001-01-29,1.5840888023376465
2001-01-30,1.6144224405288696
2001-01-31,1.7964247465133667
2001-02-01,1.8469808101654053
2001-02-02,1.9447224140167236
2001-02-05,1.8537214994430542
2001-02-06,1.8200174570083618
2001-02-07,1.668348789215088
2001-02-08,1.6919419765472412
2001-02-09,1.6582380533218384
2001-02-12,1.7526087760925293
2001-02-13,1.8099058866500854
2001-02-14,1.8065353631973267
2001-02-15,2.039093255996704
2001-02-16,1.9716856479644775
2001-02-20,1.74586820602417
2001-02-21,1.7694613933563232
2001-02-22,1.7020527124404907
2001-02-23,1.6852010488510132
2001-02-26,1.6514972448349
2001-02-27,1.668348789215088
2001-02-28,1.6009411811828613
2001-03-01,1.5166809558868408
2001-03-02,1.5503848791122437
2001-03-05,1.668348789215088
2001-03-06,1.7020527124404907
2001-03-07,1.6852010488510132
2001-03-08,1.6447564363479614
2001-03-09,1.6076818704605103
2001-03-12,1.4829769134521484
2001-03-13,1.4593839645385742
2001-03-14,1.4459024667739868
2001-03-15,1.4998290538787842
2001-03-16,1.4829769134521484
2001-03-19,1.4492731094360352
2001-03-20,1.4155691862106323
2001-03-21,1.4155691862106323
2001-03-22,1.4324207305908203
2001-03-23,1.4930880069732666
2001-03-26,1.6346451044082642
2001-03-27,1.5503848791122437
2001-03-28,1.4930880069732666
2001-03-29,1.5065698623657227
2001-03-30,1.5335332155227661
2001-04-02,1.4492731094360352
2001-04-03,1.3481606245040894
2001-04-04,1.3650130033493042
2001-04-05,1.4661246538162231
2001-04-06,1.4324207305908203
2001-04-09,1.4155691862106323
2001-04-10,1.3650130033493042
2001-04-11,1.3717538118362427
2001-04-12,1.418939232826233
2001-04-16,1.3650130033493042
2001-04-17,1.3818644285202026
2001-04-18,1.4829769134521484
2001-04-19,1.4324207305908203
2001-04-20,1.4661246538162231
2001-04-23,1.4391615390777588
2001-04-24,1.4357916116714478
2001-04-25,1.4357916116714478
2001-04-26,1.3650130033493042
2001-04-27,1.3414198160171509
2001-04-30,1.3481606245040894
2001-05-01,1.3481606245040894
2001-05-02,1.3683830499649048
2001-05-03,1.4829769134521484
2001-05-04,1.4155691862106323
2001-05-07,1.4155691862106323
2001-05-08,1.4155691862106323
2001-05-09,1.3650130033493042
2001-05-10,1.3414198160171509
2001-05-11,1.3751238584518433
2001-05-14,1.3313088417053223
2001-05-15,1.3313088417053223
2001-05-16,1.3582721948623657
2001-05-17,1.3987168073654175
2001-05-18,1.3987168073654175
2001-05-21,1.3481606245040894
2001-05-22,1.297605037689209
2001-05-23,1.3481606245040894
2001-05-24,1.3751238584518433
2001-05-25,1.3549015522003174
2001-05-29,1.3009750843048096
2001-05-30,1.2639007568359375
2001-05-31,1.2605304718017578
2001-06-01,1.2301965951919556
2001-06-04,1.179640769958496
2001-06-05,1.2301965951919556
2001-06-06,1.179640769958496
2001-06-07,1.2133450508117676
2001-06-08,1.179640769958496
2001-06-11,1.1964927911758423
2001-06-12,1.1931228637695312
2001-06-13,1.1459366083145142
2001-06-14,1.129084825515747
2001-06-15,1.1122324466705322
2001-06-18,1.135825753211975
2001-06-19,1.1122324466705322
2001-06-20,1.1021218299865723
2001-06-21,1.0448246002197266
2001-06-22,1.0313431024551392
2001-06-25,1.0481950044631958
2001-06-26,1.0279724597930908
2001-06-27,1.0077500343322754
2001-06-28,1.0313431024551392
2001-06-29,1.0279724597930908
2001-07-02,1.0953807830810547
2001-07-03,1.0953807830810547
2001-07-05,1.0953807830810547
2001-07-06,1.0616765022277832
2001-07-09,1.078528642654419
2001-07-10,1.0616765022277832
2001-07-11,1.0111209154129028
2001-07-12,1.0616765022277832
2001-07-13,1.0279724597930908
2001-07-16,0.9268607497215271
2001-07-17,0.9661256670951843
2001-07-18,0.9464092254638672
2001-07-19,0.9858428239822388
2001-07-20,0.9818995594978333
2001-07-23,0.9858428239822388
2001-07-24,0.9227485060691833
2001-07-25,0.9464092254638672
2001-07-26,0.9661256670951843
2001-07-27,1.0055592060089111
2001-07-30,0.9858428239822388
2001-07-31,0.9818995594978333
2001-08-01,0.9858428239822388
2001-08-02,1.0489367246627808
2001-08-03,1.0804836750030518
2001-08-06,1.1041439771652222
2001-08-07,1.0844268798828125
2001-08-08,1.0686532258987427
2001-08-09,1.0647099018096924
2001-08-10,1.0331628322601318
2001-08-13,1.0252760648727417
2001-08-14,1.0765403509140015
2001-08-15,1.1356909275054932
2001-08-16,1.1830111742019653
2001-08-17,1.1199171543121338
2001-08-20,1.0725971460342407
2001-08-21,1.0647099018096924
2001-08-22,1.0883703231811523
2001-08-23,1.0331628322601318
2001-08-24,1.060766577720642
2001-08-27,1.044993281364441
2001-08-28,1.01344633102417
2001-08-29,1.01344633102417
2001-08-30,1.0252760648727417
2001-08-31,1.1830111742019653
2001-09-04,1.1632938385009766
2001-09-05,1.1238605976104736
2001-09-06,1.1041439771652222
2001-09-07,1.0844268798828125
2001-09-10,1.0844268798828125
2001-09-17,0.9858428239822388
2001-09-18,0.9069747924804688
2001-09-19,0.8123340606689453
2001-09-20,0.7098065614700317
2001-09-21,0.6900900602340698
2001-09-24,0.8281077742576599
2001-09-25,0.8281077742576599
2001-09-26,0.804447591304779
2001-09-27,0.8123340606689453
2001-09-28,0.9069747924804688
2001-10-01,0.8478249907493591
2001-10-02,0.8635980486869812
2001-10-03,0.8557116985321045
2001-10-04,0.9542957544326782
2001-10-05,0.9779562950134277
2001-10-08,1.0016157627105713
2001-10-09,1.0055592060089111
2001-10-10,0.9897862076759338
2001-10-11,1.0489367246627808
2001-10-12,1.01344633102417
2001-10-15,1.0055592060089111
2001-10-16,1.0331628322601318
2001-10-17,0.9858428239822388
2001-10-18,1.0252760648727417
2001-10-19,1.044993281364441
2001-10-22,1.0252760648727417
2001-10-23,1.01344633102417
2001-10-24,1.0252760648727417
2001-10-25,1.0252760648727417
2001-10-26,1.01344633102417
2001-10-29,1.0055592060089111
2001-10-30,0.9385221004486084
2001-10-31,1.0095031261444092
2001-11-01,1.0410501956939697
2001-11-02,1.044993281364441
2001-11-05,1.108087420463562
2001-11-06,1.0962567329406738
2001-11-07,1.1672377586364746
2001-11-08,1.1238605976104736
2001-11-09,1.1356909275054932
2001-11-12,1.1435774564743042
2001-11-13,1.1475210189819336
2001-11-14,1.222444772720337
2001-11-15,1.3210288286209106
2001-11-16,1.3683496713638306
2001-11-19,1.3762363195419312
2001-11-20,1.344689130783081
2001-11-21,1.194840908050537
2001-11-23,1.3170857429504395
2001-11-26,1.4156697988510132
2001-11-27,1.4038398265838623
2001-11-28,1.2934253215789795
2001-11-29,1.3013124465942383
2001-11-30,1.3210288286209106
2001-12-03,1.4787636995315552
2001-12-04,1.4984806776046753
2001-12-05,1.6167821884155273
2001-12-06,1.6601592302322388
2001-12-07,1.853384256362915
2001-12-10,1.7981770038604736
2001-12-11,1.8100072145462036
2001-12-12,1.9992890357971191
2001-12-13,1.853384256362915
2001-12-14,1.892817735671997
2001-12-17,1.7547999620437622
2001-12-18,1.7350831031799316
2001-12-19,1.5970650911331177
2001-12-20,1.5970650911331177
2001-12-21,1.5970650911331177
2001-12-24,1.5891783237457275
2001-12-26,1.537914514541626
2001-12-27,1.5812913179397583
2001-12-28,1.6404420137405396
2001-12-31,1.7311396598815918
2002-01-02,1.8849310874938965
2002-01-03,1.8770447969436646
2002-01-04,1.9598547220230103
2002-01-07,1.9598547220230103
2002-01-08,1.9046481847763062
2002-01-09,1.8731011152267456
2002-01-10,1.739026427268982
2002-01-11,1.7311396598815918
2002-01-14,1.6364985704421997
2002-01-15,1.695649266242981
2002-01-16,1.545801043510437
2002-01-17,1.6364985704421997
2002-01-18,1.5970650911331177
2002-01-22,1.6562155485153198
2002-01-23,1.6917059421539307
2002-01-24,1.7429699897766113
2002-01-25,1.7153667211532593
2002-01-28,1.6759321689605713
2002-01-29,1.648329257965088
2002-01-30,1.6562155485153198
2002-01-31,1.6522727012634277
2002-02-01,1.6364985704421997
2002-02-04,1.5773478746414185
2002-02-05,1.4984806776046753
2002-02-06,1.5221409797668457
2002-02-07,1.4787636995315552
2002-02-08,1.518197774887085
2002-02-11,1.5024243593215942
2002-02-12,1.4984806776046753
2002-02-13,1.5221409797668457
2002-02-14,1.6167821884155273
2002-02-15,1.5931215286254883
2002-02-19,1.537914514541626
2002-02-20,1.5773478746414185
2002-02-21,1.5221409797668457
2002-02-22,1.5339711904525757
2002-02-25,1.4984806776046753
2002-02-26,1.4945379495620728
2002-02-27,1.5576316118240356
2002-02-28,1.5694613456726074
2002-03-01,1.6364985704421997
2002-03-04,1.6522727012634277
2002-03-05,1.7350831031799316
2002-03-06,1.8888745307922363
2002-03-07,2.0899858474731445
2002-03-08,2.109703302383423
2002-03-11,2.070269823074341
2002-03-12,2.0111186504364014
2002-03-13,1.9322513341903687
2002-03-14,1.9322513341903687
2002-03-15,1.8731011152267456
2002-03-18,1.8021200895309448
2002-03-19,1.8494410514831543
2002-03-20,1.916477918624878
2002-03-21,2.070269823074341
2002-03-22,2.058439016342163
2002-03-25,1.9677417278289795
2002-03-26,2.0505521297454834
2002-03-27,2.0347793102264404
2002-03-28,2.0071756839752197
2002-04-01,2.0308361053466797
2002-04-02,2.0308361053466797
2002-04-03,2.0505521297454834
2002-04-04,2.0505521297454834
2002-04-05,2.0939297676086426
2002-04-08,2.0308361053466797
2002-04-09,2.0111186504364014
2002-04-10,2.00323224067688
2002-04-11,1.9716856479644775
2002-04-12,1.9716856479644775
2002-04-15,1.9795724153518677
2002-04-16,2.070269823074341
2002-04-17,2.184627056121826
2002-04-18,2.109703302383423
2002-04-19,2.149136781692505
2002-04-22,2.1175899505615234
2002-04-23,2.0544958114624023
2002-04-24,2.06632661819458
2002-04-25,2.070269823074341
2002-04-26,1.955911636352539
2002-04-29,1.8849310874938965
2002-04-30,1.8376108407974243
2002-05-01,1.8257808685302734
2002-05-02,1.892817735671997
2002-05-03,1.8888745307922363
