Date,Price,Open,High,Low,Vol.,Change %
Feb-95,487.39,470.42,489.19,469.29,-,3.61%
Mar-95,500.71,487.39,508.15,479.7,-,2.73%
Apr-95,514.71,500.7,515.29,500.2,-,2.80%
May-95,533.4,514.76,533.41,513.03,-,3.63%
Jun-95,544.75,533.4,551.07,526,-,2.13%
Jul-95,562.06,544.75,565.4,542.51,-,3.18%
Aug-95,561.88,562.06,565.62,553.04,-,-0.03%
Sep-95,584.41,561.88,587.61,561.01,-,4.01%
Oct-95,581.5,584.41,590.66,571.55,-,-0.50%
Nov-95,605.37,581.5,608.69,581.04,-,4.10%
Dec-95,615.93,605.37,622.88,605.05,-,1.74%
Jan-96,636.02,615.93,636.18,597.29,-,3.26%
Feb-96,640.43,636.02,664.23,633.71,-,0.69%
Mar-96,645.5,640.43,656.97,627.63,-,0.79%
Apr-96,654.17,645.5,656.68,624.14,-,1.34%
May-96,669.12,654.17,681.1,630.07,-,2.29%
Jun-96,670.63,669.12,680.32,658.75,-,0.23%
Jul-96,639.95,670.63,675.88,605.88,-,-4.57%
Aug-96,651.99,639.95,670.68,639.49,-,1.88%
Sep-96,687.33,651.99,690.88,643.97,-,5.42%
Oct-96,705.27,687.31,714.1,684.44,-,2.61%
Nov-96,757.02,705.27,762.12,701.3,-,7.34%
Dec-96,740.74,757.02,761.75,716.69,-,-2.15%
Jan-97,786.16,740.74,794.67,729.55,-,6.13%
Feb-97,790.82,786.16,817.68,773.43,-,0.59%
Mar-97,757.12,790.82,814.9,756.13,-,-4.26%
Apr-97,801.34,757.12,804.13,733.54,-,5.84%
May-97,848.28,801.34,851.87,793.21,-,5.86%
Jun-97,885.14,848.28,902.09,838.82,-,4.35%
Jul-97,954.31,885.14,957.73,884.54,-,7.81%
Aug-97,899.47,954.29,964.17,893.34,-,-5.75%
Sep-97,947.28,899.47,960.59,899.47,-,5.32%
Oct-97,914.62,947.28,983.12,855.27,-,-3.45%
Nov-97,955.4,914.62,964.55,900.61,-,4.46%
Dec-97,970.43,955.4,986.25,924.92,-,1.57%
Jan-98,980.28,970.43,992.65,912.83,-,1.02%
Feb-98,"1,049.34",980.28,"1,051.66",980.28,-,7.04%
Mar-98,"1,101.75","1,049.34","1,113.07","1,030.87",-,4.99%
Apr-98,"1,111.75","1,101.75","1,132.98","1,076.70",-,0.91%
May-98,"1,090.82","1,111.75","1,130.52","1,074.39",-,-1.88%
Jun-98,"1,133.84","1,090.82","1,145.15","1,074.67",-,3.94%
Jul-98,"1,120.67","1,133.84","1,190.58","1,114.30",-,-1.16%
Aug-98,957.28,"1,120.67","1,121.79",957.28,-,-14.58%
Sep-98,"1,017.01",957.28,"1,066.11",939.98,-,6.24%
Oct-98,"1,098.67","1,017.01","1,103.78",923.32,-,8.03%
Nov-98,"1,163.63","1,098.67","1,192.97","1,098.67",-,5.91%
Dec-98,"1,229.23","1,163.63","1,244.93","1,136.89",-,5.64%
Jan-99,"1,279.64","1,229.23","1,280.37","1,205.46",-,4.10%
Feb-99,"1,238.33","1,279.64","1,283.84","1,211.89",-,-3.23%
Mar-99,"1,286.37","1,238.33","1,323.82","1,216.03",-,3.88%
Apr-99,"1,335.18","1,286.37","1,371.56","1,282.56",-,3.79%
May-99,"1,301.84","1,335.18","1,375.98","1,277.31",-,-2.50%
Jun-99,"1,372.71","1,301.84","1,372.93","1,277.47",-,5.44%
Jul-99,"1,328.72","1,372.71","1,420.33","1,328.49",-,-3.20%
Aug-99,"1,320.41","1,328.72","1,382.84","1,267.73",-,-0.63%
Sep-99,"1,282.71","1,320.41","1,361.39","1,256.26",-,-2.86%
Oct-99,"1,362.93","1,282.71","1,373.17","1,233.70",-,6.25%
Nov-99,"1,388.91","1,362.93","1,425.31","1,346.41",-,1.91%
Dec-99,"1,469.25","1,388.91","1,473.10","1,387.38",-,5.78%
Jan-00,"1,394.46","1,469.25","1,478.00","1,350.14",-,-5.09%
Feb-00,"1,366.42","1,394.46","1,444.55","1,325.07",-,-2.01%
Mar-00,"1,498.58","1,366.42","1,552.87","1,346.62",-,9.67%
Apr-00,"1,452.43","1,498.58","1,527.19","1,339.40",-,-3.08%
May-00,"1,420.60","1,452.43","1,481.51","1,361.09",-,-2.19%
Jun-00,"1,454.60","1,420.60","1,488.93","1,420.60",-,2.39%
Jul-00,"1,430.83","1,454.60","1,517.32","1,413.89",-,-1.63%
Aug-00,"1,517.68","1,430.83","1,525.21","1,425.43",-,6.07%
Sep-00,"1,436.51","1,517.68","1,530.09","1,419.44",-,-5.35%
Oct-00,"1,429.40","1,436.52","1,454.82","1,305.79",-,-0.49%
Nov-00,"1,314.95","1,429.40","1,438.46","1,294.90",-,-8.01%
Dec-00,"1,320.28","1,314.95","1,389.05","1,254.07",-,0.41%
Jan-01,"1,366.01","1,320.28","1,383.37","1,274.62",-,3.46%
Feb-01,"1,239.94","1,366.01","1,376.38","1,215.44",-,-9.23%
Mar-01,"1,160.33","1,239.94","1,267.42","1,081.19",-,-6.42%
Apr-01,"1,249.46","1,160.33","1,269.30","1,091.99",-,7.68%
May-01,"1,255.82","1,249.46","1,315.93","1,232.00",-,0.51%
Jun-01,"1,224.38","1,255.82","1,286.62","1,203.03",-,-2.50%
Jul-01,"1,211.23","1,224.42","1,239.78","1,165.54",-,-1.07%
Aug-01,"1,133.58","1,211.23","1,226.27","1,124.87",-,-6.41%
Sep-01,"1,040.94","1,133.58","1,155.40",944.75,-,-8.17%
Oct-01,"1,059.78","1,040.94","1,110.61","1,026.76",-,1.81%
Nov-01,"1,139.45","1,059.78","1,163.38","1,054.31",-,7.52%
Dec-01,"1,148.08","1,139.45","1,173.62","1,114.53",-,0.76%
Jan-02,"1,130.20","1,148.08","1,176.97","1,081.66",-,-1.56%
Feb-02,"1,106.73","1,130.20","1,130.20","1,074.36",-,-2.08%
Mar-02,"1,147.39","1,106.73","1,173.94","1,106.73",-,3.67%
Apr-02,"1,076.92","1,147.39","1,147.84","1,063.46",-,-6.14%
